study_id,public_record_file,public_record_sha256,public_record_bytes,original_frozen_record_file,original_frozen_record_sha256,original_frozen_record_bytes,source_pdf_file_label,source_pdf_sha256,source_pdf_page_count
S001,S001__neural-symbolic-fusion-for-long-form-narrative-generation-a-hierarchical-framework.json,8c01fdffcffe75bcc7a814cab5a38025a3d5c57ee4a32a24aac755ee37cc0258,8219,S001__neural-symbolic-fusion-for-long-form-narrative-generation-a-hierarchical-framework.json,8a87f25cf5f629ca5cf87443d3b53beaa26731e7afcb9ab5b70a4d2a9872e0af,7444,2025 - Neural-symbolic fusion for long-form narrative generation a hierarchical framework.pdf,729ed07beab4c8d4256159bd6bdad0ecd60fb2ff62870611884dd5da4d2a2c92,23
S002,S002__slms-meet-graphrag-a-structured-approach-to-context-aware-cybersecurity-hint-generation.json,6053ccca1d0b5880680353d13fdd2176cabf622e8b178044c04d75174d1d8b9e,6715,S002__slms-meet-graphrag-a-structured-approach-to-context-aware-cybersecurity-hint-generation.json,ee99370be433381210fd58b471059b16d2c80f41f10bbf6ba0886679e21e12e3,5955,Abraham et al. - 2026 - SLMs meet GraphRAG a structured approach to context-aware cybersecurity hint generation.pdf,5b5fc245a3cc90f72fef8e562da78db353095df97677b332e3e488a7a93c66c1,8
S003,S003__knowledge-graph-question-answering-for-materials-science-kgqa4mat-developing-natural-languag.json,a11cb13a83a2ff18d933c0df50a4e5a863595223cf8a7abd89a8cb4f2c6e6373,7067,S003__knowledge-graph-question-answering-for-materials-science-kgqa4mat-developing-natural-languag.json,795bca057fb0df70674ad3578152e21e45041a480df683ff4b27b2cd28f1962b,6593,An et al. - 2024 - Knowledge graph question answering for materials science (KGQA4MAT).pdf,ea177adac699d8d0917ded51bf0079eceb072c88e9783d18ea4f72cb1df921a3,14
S004,S004__reasoning-and-justification-system-for-domestic-hazardous-behaviors-based-on-knowledge-graph.json,438594b0f412c6231bc017755061ce93d201b518d960bc0b89873bdf7ceefc7b,8369,S004__reasoning-and-justification-system-for-domestic-hazardous-behaviors-based-on-knowledge-graph.json,34b329c45e26a9ceeb0c2fd99791efe48ef860f7ff52a99f0b2dcf18ed342400,7429,Anaguchi et al. - 2024 - Reasoning and justification system for domestic hazardous behaviors based on knowledge graph of dail.pdf,1f938da4bb3a7e17870528d133ec7f38b68f3a848b003ad64d873b1a562b6edf,10
S005,S005__neureg-neuro-symbolic-qa-generation-from-regulatory-compliance.json,3254975639c31816f58d9c69a92328e35864894f7c14f259c8972ad2471078d6,5926,S005__neureg-neuro-symbolic-qa-generation-from-regulatory-compliance.json,b037a92c160ef830c90f4788a16f24c3ad85e888c9e2e4b381dff93a36d77238,5135,Arshad et al. - 2025 - NeuReg neuro-symbolic QA generation from regulatory compliance.pdf,bbe5ebeab7c1670b220995c3403df65c2d56bf09948193cc7400e051d5b59aac,4
S006,S006__navigation-with-large-language-models-in-subject-domain-of-ordinary-differential-equation.json,c6d724fd150248e348462903d4a1365a612bebae35312abd3643293d577c26d9,7173,S006__navigation-with-large-language-models-in-subject-domain-of-ordinary-differential-equation.json,45f76e6310d89f91ddda5277c33eb6619ddada4207798aa167d3d7c5c2553d4a,6422,Ataeva and Tuchkova - 2025 - Navigation with large language models in subject domain of ordinary differential equation.pdf,71ab636064fcabae5f75eb587d208779d803e8d508fb6171b3374e6dd0263ca0,13
S007,S007__domain-specific-retrieval-augmented-generation-using-vector-stores-knowledge-graphs-and-tens.json,77aff177a62aa0c89747f50ea78271dfacf17a16380f02cdf4c8247e22071e62,6636,S007__domain-specific-retrieval-augmented-generation-using-vector-stores-knowledge-graphs-and-tens.json,f51434a0c583435bda5c5c7b400d66f218fbcdc18f9cfc01eddc806f1cc0461e,5975,"Barron et al. - 2024 - Domain-specific retrieval-augmented generation using vector stores, knowledge graphs, and tensor fac.pdf",b627d7358d97ec5430600fed782fba1b0d87c55143ea863c6d037fb018ca589f,8
S008,S008__logic-ontological-reconstruction-of-scientific-discourse-and-its-implementation-in-an-ai-bas.json,b718466c2d8f79e35a58a9f260183bec16ec43a6690d86b00b7cc2dd058201a1,9132,S008__logic-ontological-reconstruction-of-scientific-discourse-and-its-implementation-in-an-ai-bas.json,1b52aa795947059cd4124f180dace00bf81eabe228466fb78b4a8f3be70f6e88,8605,Bedratyuk - 2025 - Logic-ontological reconstruction of scientific discourse and its implementation in an ai-based revie.pdf,6b563de933e78f5a542f159ddcbbb5de32d729f357e32e8a5c1769d920c701cd,15
S009,S009__statistical-data-science-leveraging-survey-metadata-for-llm-reasoning-via-knowledge-graphs.json,e6f327fc525028fd9cd4c4d7640c3a2249006b0fdcf4e49b4dc667ec83dcb9ac,8445,S009__statistical-data-science-leveraging-survey-metadata-for-llm-reasoning-via-knowledge-graphs.json,ccb06afc157c9e681a32c870cf1a9555015a913214e05bf34b74f637ee51d954,8053,Belyaeva et al. - 2026 - Leveraging survey metadata for LLM reasoning via knowledge graphs.pdf,4b9f5345cd6dc6de0b14c1dbb85bf513d0dc8c08fbf57d95c78d36a5305699bf,22
S010,S010__from-query-to-logic-ontology-driven-multi-hop-reasoning-in-llms.json,846553c4bd95676ba51b0e43def2d1bea8ecc5ee044a26f3487f79e752723234,6737,S010__from-query-to-logic-ontology-driven-multi-hop-reasoning-in-llms.json,96886916c90fba844cc81fa439b2f274a1e50b373393cb957ef63cc187792b00,5965,Bian et al. - 2025 - From query to logic ontology-driven multi-hop reasoning in LLMs.pdf,f08fcb0dfb552788013750abbfc84a45761b26dc502660e3308a71587fafe8a3,14
